pixel_area,pixel_height,real_height_cm,actual_weight_kg
120863.0,585,147.32,45.3592
92808.0,529,147.32,49.89512
79836.5,294,147.32,54.43104
185534.0,600,147.32,72.57472
77113.0,600,147.32,77.11064
136681.0,600,147.32,86.18248
184545.0,600,147.32,40.82328
124080.5,356,149.86,45.3592
26545.0,312,149.86,49.89512
46396.5,376,149.86,54.43104
54351.5,305,149.86,58.96696
184461.5,600,149.86,68.0388
151312.5,600,149.86,77.11064
97132.5,566,149.86,86.18248
145110.0,600,149.86,95.25432
150619.0,600,149.86,104.32616
120732.5,582,149.86,40.82328
67785.5,595,152.4,45.3592
113452.0,600,152.4,49.89512
145160.5,600,152.4,54.43104
139029.0,548,152.4,58.96696
137478.0,600,152.4,63.50288
140015.5,593,152.4,68.0388
102724.5,561,152.4,72.57472
131194.0,600,152.4,77.11064
111890.0,364,152.4,81.64656
155846.5,600,152.4,95.25432
50369.0,447,152.4,99.79024
132384.0,595,152.4,104.32616
129184.5,600,152.4,108.86208
159578.5,600,152.4,40.82328
69787.5,550,154.94,45.3592
168119.5,600,154.94,49.89512
109888.5,549,154.94,54.43104
186425.0,600,154.94,58.96696
158304.5,585,154.94,63.50288
210797.5,600,154.94,68.0388
98420.0,597,154.94,72.57472
104057.5,597,154.94,77.11064
116773.5,600,154.94,81.64656
130380.0,600,154.94,86.18248
141907.0,600,154.94,95.25432
147243.5,567,154.94,99.79024
101566.0,588,154.94,104.32616
139334.0,600,154.94,40.82328
154978.0,549,177.8,49.89512
91365.0,574,177.8,54.43104
73889.0,569,177.8,58.96696
104777.0,580,177.8,63.50288
201718.5,600,177.8,68.0388
63460.5,380,177.8,72.57472
41996.5,471,177.8,77.11064
180543.0,600,177.8,81.64656
222120.5,600,177.8,86.18248
184033.0,566,177.8,90.7184
170529.0,600,177.8,95.25432
58829.0,392,177.8,99.79024
140716.0,600,177.8,104.32616
60827.5,546,177.8,108.86208
113300.0,580,177.8,113.398
76522.5,502,177.8,117.93392
94465.0,452,177.8,122.46984
112633.0,600,177.8,131.54168
114579.5,600,180.34,49.89512
124473.0,600,180.34,54.43104
63820.5,582,180.34,58.96696
133458.5,600,180.34,63.50288
160773.0,575,180.34,68.0388
145884.0,600,180.34,72.57472
181433.0,561,180.34,77.11064
102224.5,554,180.34,86.18248
143251.0,600,180.34,90.7184
175340.5,600,180.34,95.25432
120067.5,600,180.34,99.79024
90996.0,600,180.34,104.32616
64955.0,550,180.34,108.86208
184534.0,600,180.34,113.398
