shoulder_torso_ratio,hip_torso_ratio,shoulder_hip_ratio,height,weight,gender,age
0.651649945099082,0.4061505082912559,1.6044543384684755,155.44799999999998,62.0,1,39
0.6058643694894882,0.4040857579503104,1.4993460115067705,182.88,78.0,0,40
0.6384188886984828,0.4246998636573578,1.5032236723615968,176.784,65.0,1,47
0.5724385545592344,0.39364687858500347,1.4541930488993398,170.688,53.0,1,40
0.6420913636169633,0.46170671392151674,1.3906909825143008,167.64,52.0,1,39
0.5978980741888212,0.37350550651189623,1.6007744565066486,173.73600000000002,55.0,1,46
0.5401967934727353,0.3368240925343999,1.6037949940221838,192.024,100.0,0,45
0.5981826602804164,0.38668230504545476,1.54696155597319,216.408,120.0,0,38
0.5418746441379542,0.317408204814399,1.7071853717669632,170.688,57.0,1,46
0.5559778570889252,0.3525405889900009,1.5770605554434312,179.83200000000002,70.0,0,30
0.6274529866473033,0.4033416781789159,1.5556363762858527,182.88,93.0,0,37
0.6538301234963605,0.387077633822024,1.6891446737451838,176.784,46.0,1,35
0.6261037408538729,0.41263241101318904,1.5173401898229963,155.44799999999998,83.0,0,50
0.6369140372241161,0.40580093653683963,1.5695233299844675,155.44799999999998,57.0,1,45
0.5921377290665493,0.4463820920926373,1.3265266227204817,195.072,88.0,0,36
0.6320687894443999,0.41775205914548963,1.5130237556154587,155.44799999999998,84.0,0,59
0.5140030251952683,0.3497100042172096,1.4697978868114223,155.44799999999998,40.0,1,38
0.6239623673264002,0.40707864848888226,1.532780875741365,188.976,85.0,0,50
0.7009941982257394,0.4439583250766456,1.5789639671802949,213.36,127.0,0,30
0.5722751874514888,0.37237482591832827,1.5368256595761498,182.88,75.0,0,31
0.5748954930922703,0.37508831996459385,1.5326936683779893,155.44799999999998,51.0,1,32
0.6275347874636963,0.42638967479733,1.4717401113476165,164.592,68.0,1,50
0.5554865581086775,0.3745768229421881,1.4829709797458848,155.7528,76.0,0,47
0.5818335889388734,0.371376025666966,1.5666966867178356,155.7528,77.0,0,32
0.7392483369803351,0.4362433605639775,1.694577852198441,170.688,60.0,1,48
0.5480441807515612,0.36540134186299805,1.499841730075098,173.73600000000002,60.0,1,42
0.5980458919132263,0.4011329272974338,1.4908920490333737,179.83200000000002,73.0,0,43
0.5591325741655881,0.35546457380009555,1.5729628643107214,176.784,57.0,1,43
0.679856808474594,0.40014640458900624,1.6990201603157742,161.54399999999998,50.0,1,45
0.6424054840107422,0.39412800707899703,1.6299412182651147,167.64,50.0,1,33
0.5488962036978717,0.34698301442966034,1.5819108742256394,173.73600000000002,63.0,1,60
0.6580671992438687,0.4680859932045944,1.4058681712277512,179.83200000000002,77.0,0,51
0.635874658664656,0.3864796430962605,1.6452992286227057,179.83200000000002,49.0,1,40
0.6394163474002961,0.4366032005614048,1.4645251032931155,170.688,100.0,0,53
0.7164171045830702,0.4264127602912143,1.680102406161111,167.64,51.0,1,48
0.4669910638956214,0.2932317034188464,1.59256676017934,176.784,55.0,1,57
0.6150692886826837,0.43188702725162825,1.4241439308718316,182.88,88.0,0,41
0.6216412470198714,0.40595634333452923,1.5313007352310457,188.976,88.0,0,30
0.6967402884320034,0.440422691610189,1.5819809053995724,179.83200000000002,52.0,1,53
0.7182989420235607,0.44969803762871136,1.5972916978050435,164.592,55.0,1,72
0.6677843364806848,0.4201284390027054,1.5894766325885037,155.44799999999998,86.0,0,54
0.5888787543264565,0.38466283549908264,1.5308958911052921,164.592,50.0,1,49
0.5980366448675378,0.38957073671736997,1.5351169595200063,155.7528,76.0,0,59
0.5904596819299057,0.3847919591320182,1.5344906979392599,182.88,82.0,0,59
0.666175324470211,0.422794328776735,1.5756486762668904,170.688,70.0,0,48
0.6490271477075801,0.42621637588154476,1.5227644558827544,179.83200000000002,70.0,0,60
0.5781703330583887,0.39315238574066746,1.4706011053936814,167.64,52.0,1,39
0.678869351304028,0.41481195221426104,1.6365713371570707,173.73600000000002,55.0,1,36
0.5791012732809064,0.37058116655637385,1.5626840367043096,170.688,54.0,1,38
0.5082488363480997,0.2999142910930551,1.6946469422839345,161.54399999999998,54.0,1,43
0.6878373548625305,0.48434343722891,1.420143852465261,173.73600000000002,57.0,1,36
0.5140621560270654,0.316519813810685,1.6241073499889433,155.7528,58.0,1,48
0.6349602213632562,0.43134215021349953,1.4720569762286686,173.73600000000002,65.0,0,47
0.5820794228104977,0.3787966210856835,1.5366542107534582,155.7528,84.0,0,42
0.4854148816189101,0.35880571448027687,1.3528627388836996,155.44799999999998,49.0,1,28
0.6672644176360577,0.4018356487352695,1.6605406208637636,170.688,67.0,1,50
0.5678728146200684,0.3575064714092513,1.5884266720587632,195.072,85.0,0,38
0.6520143876108396,0.407088353593057,1.6016532574710332,192.024,98.0,0,60
0.5076187000787439,0.32604014394736747,1.5569208562264916,155.7528,54.0,1,38
0.5673568178263725,0.35771619969464913,1.5860529053777133,188.976,79.0,0,35
0.5069594862212914,0.3144689250546403,1.6121131400605164,161.54399999999998,50.0,1,39
0.6937643731358932,0.46272041008369075,1.4993165592380382,164.592,50.0,1,44
0.6230876403842965,0.4142305368377202,1.5042049896683467,179.83200000000002,83.0,0,38
0.613453412477631,0.4081581981548674,1.5029795193403621,173.73600000000002,64.0,0,37
0.6366140155810407,0.4438253902886576,1.4343794418047966,173.73600000000002,78.0,0,46
0.5605539166793493,0.39388208474289815,1.4231515938208872,176.784,57.0,1,45
0.4656401454421107,0.3033952352050739,1.534764199995991,170.688,56.0,1,40
0.5667668564920717,0.37633696673454714,1.5060089935088574,188.976,98.0,0,39
